City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hithadhoo,MV,81.36,light rain,-0.6,73.0833,Scoop Guest House
14,Tautira,PF,78.01,moderate rain,-17.7333,-149.15,Pension Oaoa
17,Cape Town,ZA,82.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
18,Arraial Do Cabo,BR,87.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
22,Bama,NG,90.0,scattered clouds,11.5221,13.6856,UN Humanitarian Hub
27,Atuona,PF,77.76,clear sky,-9.8,-139.0333,Villa Enata
29,Rikitea,PF,77.83,overcast clouds,-23.1203,-134.9692,Pension Maro'i
40,East London,ZA,82.4,few clouds,-33.0153,27.9116,Tu Casa
41,Gurupa,BR,80.73,broken clouds,-1.405,-51.64,Residencial DWD
42,Lakatoro,VU,81.66,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
45,Georgetown,MY,84.0,scattered clouds,5.4112,100.3354,Cititel Penang
46,George,ZA,82.4,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
49,Vazante,BR,81.97,scattered clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
50,Amapa,BR,80.24,light rain,1.0,-52.0,
52,Puerto Ayora,EC,80.6,light rain,-0.7393,-90.3518,Castillo Galapagos
56,Rodrigues Alves,BR,80.6,light rain,-7.7379999999999995,-72.6509,Pousada Aconchego
57,Butaritari,KI,79.32,light rain,3.0707,172.7902,Isles Sunset Lodge
59,Bandarbeyla,SO,75.7,broken clouds,9.4942,50.8122,JABIR HOTEL
63,Acarau,BR,86.34,broken clouds,-2.8856,-40.12,castelo pizzaria
65,Rawson,AR,81.09,clear sky,-43.3002,-65.1023,Hosteria Sampedro
66,Praia,CV,84.2,clear sky,14.9215,-23.5087,LT Aparthotel
73,Kavaratti,IN,81.9,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
78,Cidreira,BR,77.07,clear sky,-30.1811,-50.2056,Hotel Castelo
82,Praya,CV,84.2,clear sky,14.9215,-23.5087,LT Aparthotel
87,Saint-Pierre,RE,84.2,broken clouds,-21.3393,55.4781,Lindsey Hôtel
99,Pallisa,UG,83.43,overcast clouds,1.145,33.7094,RNM HOTEL
100,Jacareacanga,BR,82.4,moderate rain,-6.2222,-57.7528,Casa do Ian😎
101,Port Alfred,ZA,75.0,clear sky,-33.5906,26.891,The Halyards Hotel
103,Hermanus,ZA,79.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
105,Dingle,PH,76.51,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
108,Bonthe,SL,87.12,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
109,Port Elizabeth,ZA,80.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
112,Bengkulu,ID,77.79,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
113,Chuy,UY,78.75,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
115,Wewak,PG,80.78,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
116,Richards Bay,ZA,83.75,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
118,Luanda,AO,87.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
119,Saldanha,ZA,86.0,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
120,Carnarvon,AU,77.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Porto Novo,BJ,89.6,haze,6.4965,2.6036,Tour Eiffel Hotel Benin
126,Galesong,ID,75.2,light rain,-5.3166,119.3661,Sapriadi Appy
129,Rocha,UY,84.81,clear sky,-34.4833,-54.3333,Beleza Pura B&B
131,Nicolas Bravo,MX,75.2,clear sky,18.45,-88.9167,
133,Bredasdorp,ZA,80.6,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
134,Kilindoni,TZ,82.49,overcast clouds,-7.9139,39.6668,Bustani B&B
135,Guarapari,BR,84.99,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
143,Villa Bruzual,VE,86.31,clear sky,9.3328,-69.1208,Edificio Guarente
144,Ciudad Bolivar,VE,85.5,overcast clouds,8.1222,-63.5497,Hotel Edi
146,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
151,Kieta,PG,77.86,broken clouds,-6.2167,155.6333,
156,Edd,ER,84.97,broken clouds,13.9297,41.6925,
158,Ratnagiri,IN,77.16,clear sky,16.9833,73.3,Hotel Landmark
168,Manado,ID,75.2,moderate rain,1.4869999999999999,124.8455,Aryaduta Hotel
169,Kericho,KE,80.6,light rain,-0.3677,35.2831,Taidy's Kericho
171,Souillac,MU,84.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
173,Mar Del Plata,AR,81.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
174,Saint-Philippe,RE,84.2,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
178,Kismayo,SO,80.02,overcast clouds,-0.3582,42.5454,Agan-Hotel
179,Grand Gaube,MU,82.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
180,San Policarpo,PH,80.53,clear sky,12.1791,125.5072,JM Lodge
187,Kloulklubed,PW,83.26,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
191,Sinnamary,GF,79.21,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
192,Namibe,AO,84.2,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
195,San Andres,CO,78.8,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
196,Lusambo,CD,87.03,light rain,-4.9667,23.45,
197,Carutapera,BR,86.92,overcast clouds,-1.195,-46.02,Lidera
201,Faanui,PF,80.42,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
205,Orocue,CO,88.02,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
206,Emerald,AU,77.0,broken clouds,-23.5333,148.1667,The Irish Village
209,Barao De Melgaco,BR,80.6,light rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
213,Mwense,ZM,76.37,scattered clouds,-10.3845,28.698,Mwense Council Guest House
215,Barentu,ER,83.95,clear sky,15.1139,37.5928,
218,Zamboanga,PH,78.51,overcast clouds,6.9103,122.0739,Two Seasons Executive Suites
227,Tessalit,ML,82.22,clear sky,20.1986,1.0114,
228,Bajil,YE,81.14,overcast clouds,15.0584,43.2851,شبكة ماكس نت MAX WIFI
229,Vila Velha,BR,84.99,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
233,Malpe,IN,80.6,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
240,Bairiki,KI,77.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
241,Ternate,ID,81.93,light rain,0.8,127.4,Grand Dafam Bela Ternate
246,Kruisfontein,ZA,79.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
248,Bambous Virieux,MU,84.2,scattered clouds,-20.3428,57.7575,Casa Tia Villa
256,Eydhafushi,MV,82.53,broken clouds,5.1033,73.0708,Soneva Fushi
257,Hobyo,SO,78.82,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
266,Cordoba,AR,89.01,scattered clouds,-31.4135,-64.1811,Sheraton Cordoba Hotel
268,Meulaboh,ID,78.17,overcast clouds,4.1363,96.1285,Kost Pria
279,Port Blair,IN,77.92,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
289,Juquia,BR,82.87,overcast clouds,-24.3208,-47.6347,Casa Quero Verde
296,Tzaneen,ZA,84.2,clear sky,-23.8332,30.1635,Hotel @ Tzaneen
304,Samarai,PG,82.27,light rain,-10.6167,150.6667,Nuli Sapi
