City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-01-19 17:46:36,-33.65,115.3333,66.11,82,13,4.12
1,San Patricio,US,2021-01-19 17:46:36,28.017,-97.5169,73.99,73,90,24.16
2,Vaini,TO,2021-01-19 17:46:36,-21.2,-175.2,73.4,100,40,2.3
3,Bethel,US,2021-01-19 17:43:59,41.3712,-73.414,37.4,52,90,5.75
4,Hilo,US,2021-01-19 17:44:33,19.7297,-155.09,68.0,88,90,8.05
5,Norman Wells,CA,2021-01-19 17:46:36,65.282,-126.8329,12.2,92,90,5.75
6,Longyearbyen,SJ,2021-01-19 17:46:36,78.2186,15.6401,17.6,62,40,18.41
7,Bredasdorp,ZA,2021-01-19 17:46:36,-34.5322,20.0403,69.8,64,23,18.41
8,Saskylakh,RU,2021-01-19 17:46:37,71.9167,114.0833,-21.82,86,100,6.24
9,Kuopio,FI,2021-01-19 17:46:37,62.8924,27.677,26.6,100,90,2.3
10,Ushuaia,AR,2021-01-19 17:46:37,-54.8,-68.3,59.0,47,20,6.91
11,Albany,US,2021-01-19 17:44:54,42.6001,-73.9662,36.0,64,90,8.37
12,Praia Da Vitoria,PT,2021-01-19 17:46:37,38.7333,-27.0667,60.8,63,40,22.06
13,Mataura,NZ,2021-01-19 17:46:37,-46.1927,168.8643,45.0,88,79,14.0
14,Ambovombe,MG,2021-01-19 17:46:37,-25.1667,46.0833,75.67,85,97,18.43
15,Hobart,AU,2021-01-19 17:46:37,-42.8794,147.3294,46.4,76,24,8.05
16,Mikhaylovka,RU,2021-01-19 17:46:38,50.06,43.2379,3.0,88,95,5.12
17,Atuona,PF,2021-01-19 17:46:38,-9.8,-139.0333,77.18,78,6,13.22
18,Rikitea,PF,2021-01-19 17:46:38,-23.1203,-134.9692,78.15,76,51,17.47
19,Port Lincoln,AU,2021-01-19 17:46:38,-34.7333,135.8667,61.29,77,17,12.03
20,Majene,ID,2021-01-19 17:46:38,-3.5403,118.9707,77.45,81,100,3.47
21,Shakawe,BW,2021-01-19 17:46:38,-18.3667,21.85,69.64,93,95,3.94
22,Hermanus,ZA,2021-01-19 17:43:06,-34.4187,19.2345,70.0,71,21,4.0
23,Great Falls,US,2021-01-19 17:46:38,47.5002,-111.3008,35.01,55,1,27.63
24,Butaritari,KI,2021-01-19 17:46:39,3.0707,172.7902,79.84,82,99,20.65
25,Bluff,NZ,2021-01-19 17:46:39,-46.6,168.3333,45.0,88,94,14.0
26,Karratha,AU,2021-01-19 17:46:39,-20.7377,116.8463,88.38,61,16,12.62
27,Dingle,PH,2021-01-19 17:46:39,10.9995,122.6711,72.27,92,97,5.91
28,Kentau,KZ,2021-01-19 17:46:39,43.5206,68.5094,37.72,80,100,5.08
29,Champerico,GT,2021-01-19 17:46:39,14.3,-91.9167,87.8,51,20,6.91
30,Arraial Do Cabo,BR,2021-01-19 17:46:39,-22.9661,-42.0278,95.0,61,0,14.97
31,Port Hardy,CA,2021-01-19 17:46:39,50.6996,-127.4199,46.4,76,75,5.75
32,Nanortalik,GL,2021-01-19 17:46:39,60.1432,-45.2371,29.84,85,38,12.59
33,Beringovskiy,RU,2021-01-19 17:46:40,63.05,179.3167,-18.94,87,100,15.55
34,Castro,BR,2021-01-19 17:46:40,-24.7911,-50.0119,68.86,90,100,8.7
35,Klyuchi,RU,2021-01-19 17:46:40,52.2667,79.1667,-4.38,89,100,5.61
36,Maruko,JP,2021-01-19 17:46:40,36.3167,138.2667,18.0,87,52,5.01
37,Bilibino,RU,2021-01-19 17:46:40,68.0546,166.4372,-42.38,76,92,1.43
38,Carnarvon,AU,2021-01-19 17:46:40,-24.8667,113.6333,78.8,89,40,18.41
39,Hasaki,JP,2021-01-19 17:46:40,35.7333,140.8333,30.99,54,40,9.22
40,Sibolga,ID,2021-01-19 17:46:40,1.7427,98.7792,76.71,78,82,2.84
41,Cape Town,ZA,2021-01-19 17:46:23,-33.9258,18.4232,71.01,68,20,24.16
42,Khatanga,RU,2021-01-19 17:46:41,71.9667,102.5,-29.92,84,63,7.14
43,Avarua,CK,2021-01-19 17:46:41,-21.2078,-159.775,82.4,78,47,6.91
44,Komatipoort,ZA,2021-01-19 17:46:41,-25.4332,31.9548,73.29,72,19,6.15
45,Pangnirtung,CA,2021-01-19 17:46:41,66.1451,-65.7125,30.2,55,75,19.57
46,Barrow,US,2021-01-19 17:45:01,71.2906,-156.7887,1.4,78,90,23.02
47,Jamestown,US,2021-01-19 17:46:41,42.097,-79.2353,28.99,80,90,11.5
48,Sakaiminato,JP,2021-01-19 17:46:41,35.55,133.2333,32.0,93,75,3.44
49,Beloha,MG,2021-01-19 17:46:42,-25.1667,45.05,74.84,77,99,14.41
50,Chacabuco,AR,2021-01-19 17:46:42,-34.6417,-60.4739,98.65,11,5,10.04
51,Provideniya,RU,2021-01-19 17:46:42,64.3833,-173.3,-10.46,86,89,6.85
52,Baykit,RU,2021-01-19 17:46:42,61.67,96.37,-27.02,79,99,2.35
53,Kavieng,PG,2021-01-19 17:46:42,-2.5744,150.7967,81.19,78,100,12.97
54,Flinders,AU,2021-01-19 17:46:42,-34.5833,150.8552,63.0,87,93,1.01
55,Asfi,MA,2021-01-19 17:46:43,32.2994,-9.2372,57.09,74,47,7.92
56,Clyde River,CA,2021-01-19 17:46:43,70.4692,-68.5914,-0.4,92,75,4.61
57,Jinchang,CN,2021-01-19 17:46:43,38.4953,102.1739,24.46,58,6,2.89
58,Great Yarmouth,GB,2021-01-19 17:46:43,52.6083,1.7305,50.0,87,75,14.97
59,Luanda,AO,2021-01-19 17:46:43,-8.8368,13.2343,80.6,69,40,8.05
60,Vardo,NO,2021-01-19 17:46:43,70.3705,31.1107,24.8,86,90,9.22
61,Luderitz,NA,2021-01-19 17:46:43,-26.6481,15.1594,72.95,57,0,26.73
62,Lata,PT,2021-01-19 17:46:43,40.1629,-8.3327,55.0,78,100,3.0
63,Araouane,ML,2021-01-19 17:46:44,18.9048,-3.5265,75.76,18,62,7.29
64,Caravelas,BR,2021-01-19 17:46:44,-17.7125,-39.2481,83.64,56,10,9.73
65,Barahona,DO,2021-01-19 17:46:44,18.2085,-71.1008,86.0,74,75,16.11
66,Khandyga,RU,2021-01-19 17:46:44,62.6667,135.6,-44.45,78,100,0.43
67,Souillac,MU,2021-01-19 17:46:44,-20.5167,57.5167,80.6,89,40,1.14
